,avg_weight_first_component
Kernel-Gaussian,0.2625
Kernel-t,0.33
Kernel-Frank,0.3074
Kernel-Gumbel,0.2221
Kernel-Clayton,0.4217
Gaussian-t,0.6689
Gaussian-Frank,0.6115
Gaussian-Gumbel,0.3341
Gaussian-Clayton,0.7868
t-Frank,0.4484
t-Gumbel,0.3304
t-Clayton,0.6202
Frank-Gumbel,0.2787
Frank-Clayton,0.7124
Gumbel-Clayton,0.7664
