,65%,75%,85%,90%
Kernel,0.0017,0.0,0.0,0.0017
Gaussian,0.3411,0.2063,0.1215,0.0899
t,0.1564,0.1448,0.0632,0.0449
Frank,0.0998,0.1564,0.2163,0.2013
Gumbel,0.0832,0.0532,0.0383,0.0266
Clayton,0.3178,0.4393,0.5607,0.6356
